;Player
0;Unai Simón Mendibil
1;Ander Capa Rodríguez
2;Yuri Berchiche Izeta
3;Iñigo Martínez Berridi
4;Yeray Álvarez López
5;Daniel García Carrillo
6;Raúl García Escudero
7;Unai López Cabrera
8;Iñaki Williams Arthuer
9;Iker Muniain Goñi
10;Iñigo Córdoba Querejeta
11;Iago Herrerín Buisán
12;Unai Núñez Gestoso
13;Ibai Gómez Pérez
14;Beñat Etxebarria Urkiaga
15;Gaizka Larrazabal Goikoetxea
16;Jokin Ezkieta Mendiburu
17;Aritz Aduriz Zubeldia
18;Mikel San José Domínguez
19;Oihan Sancet Tirapu
20;Óscar de Marcos Arana
21;Iñigo Lekue Martínez
22;Kenan Kodro
23;Mikel Vesga Arruti
24;Mikel Balenziaga Oruesagasti
25;Asier Villalibre Molina
26;Daniel Vivian Moreno
27;Cristian George Ganea
28;Gorka Guruzeta Rodríguez
29;Jesús Areso Blanco
