;Player
0;Jan Oblak
1;Kieran John Trippier
2;Renan Augusto Lodi dos Santos
3;Felipe Augusto de Almeida Monteiro
4;Jose María Giménez de Vargas
5;Saúl Ñíguez Esclápez
6;Jorge Resurrección Merodio
7;Thomas Teye Partey
8;João Félix Sequeira
9;Álvaro Borja Morata Martín
10;Diego da Silva Costa
11;Antonio Adán Garrido
12;Thomas Benoit Lemar
13;Mario Hermoso Canseco
14;Ángel Martín Correa Martínez
15;Héctor Miguel Herrera López
16;Víctor Machín Pérez
17;Marcos Llorente Moreno
18;Stefan Savić
19;Santiago Arias Naranjo
20;Manuel Sánchez de la Peña
21;Rodrigo Riquelme Reche
22;Darío Poveda Romera
23;Ivan Šaponjić
24;Antonio Moya Vega
25;Nikola Kalinić
26;Šime Vrsaljko
