;Player
0;Marc-André ter Stegen
1;Nélson Cabral Semedo
2;Jordi Alba Ramos
3;Gerard Piqué Bernabeu
4;Clément Lenglet
5;Frenkie de Jong
6;Sergi Roberto Carnicer
7;Sergio Busquets Burgos
8;Antoine Griezmann
9;Luis Alberto Suárez Díaz
10;Lionel Andrés Messi Cuccittini
11;Norberto Murara Neto
12;Arturo Erasmo Vidal Pardo
13;Ivan Rakitić
14;Arthur Henrique Ramos de Oliveira Melo
15;Héctor Junior Firpo Adames
16;Ignacio Peña Sotorres
17;Carles Pérez Sayol
18;Anssumane Fati Vieira
19;Samuel Yves Umtiti
20;Mansour Ousmane Dembélé
21;Carles Aleñá Castillo
22;Rafael Alcántara do Nascimento
23;Jean-Clair Todibo
24;Moussa Wagué
25;Ronald Federico Araújo da Silva
26;Daniel Morer Cabrera
27;Philippe Coutinho Correia
