;Player
0;Joel Robles Blázquez
1;Emerson Aparecido Leite de Souza
2;Alexandre Moreno Lopera
3;Marc Bartra Aregall
4;Aïssa Mandi
5;Sergio Canales Madrazo
6;José Andrés Guardado Hernández
7;Nabil Fekir
8;Joaquín Sánchez Rodríguez
9;Lorenzo Jesús Morón García
10;Borja Iglesias Quintas
11;Daniel Martín Fernández
12;Alfonso Pedraza Sag
13;Zouhair Feddal Agharbi
14;Sidnei Rechel da Silva Júnior
15;Cristian Tello Herrera
16;Carlos Marín Tomás
17;William Silva de Carvalho
18;Francisco Javier García Fernández
19;Diego Lainez Leyva
20;Antonio Juan Barragán Fernández
21;Wilfrid Jaures Kaptoum
22;Ismael Gutiérrez Montilla
23;Edgar González Estrada
24;Juan Miguel Jiménez López
25;Raúl García de Haro
26;Daniel Rebollo Franco
27;Francisco Javier Guerrero Martín
28;Alejandro Meléndez Ruiz
