;Player
0;Rubén Santiago Blanco Veiga
1;Hugo Mallo Novegil
2;Lucas René Olaza Catrofe
3;Joseph Aidoo
4;Néstor Alejandro Araujo Razo
5;Stanislav Lobotka
6;Denis Suárez Fernández
7;Brais Méndez Portela
8;Francisco José Beltrán Peinado
9;Iago Aspas Juncal
10;Santiago Mina Lorenzo
11;Sergio Álvarez Conde
12;Rafael Alcántara do Nascimento
13;Pape Cheikh Diop Gueye
14;Gabriel Matías Fernández Leites
15;Pione Sisto Ifolo Emirmija
16;Iván Villar Martínez
17;Okay Yokuşlu
18;Kevin Vázquez Comesaña
19;David Costas Cordal
20;David Juncà Reñé
21;Jorge Sáenz de Miera Colmeiro
22;Iker Losada Aragunde
23;Sergio Bermejo Lillo
24;Juan Hernández García
25;Francisco Barbosa Vieites
26;Sergio Carreira Vilariño
27;Claudio Beauvue
28;Jozabed Sánchez Ruiz
