;Player
0;Marko Dmitrović
1;Álvaro Tejero Sacristán
2;José Ángel Valdés Díaz
3;Paulo André Rodrigues de Oliveira
4;Anaitz Arbilla Zabala
5;Papakouli Diop
6;Gonzalo Escalante
7;Takashi Inui
8;Pedro León Sánchez Gil
9;Fabián Ariel Orellana Valenzuela
10;Enrique García Martínez
11;Yoel Rodríguez Oterino
12;Eduardo Expósito Jaén
13;Pablo Ezequiel De Blasis
14;Charles Dias de Oliveira
15;Sergi Enrich Ametller
16;Iván Andrés Ramis Barrios
17;Pedro Bigas Rigo
18;Sergio Álvarez Díaz
19;Enrique González Casín
20;Roberto Antonio Correa Silva
21;Esteban Rodrigo Burgos
22;Miguel Ángel Atienza Villa
23;Sergio Cubero Ezkurra
24;Jordi Calavera Espinach
25;Miguel Marí Sánchez
26;Ekhi Bravo Díaz
