;Player
0;Diego López Rodríguez
1;David López Silva
2;Dídac Vilà Roselló
3;Edinaldo Gomes Pereira
4;Fernando Calero Villa
5;Bernardo José Espinosa Zúñiga
6;Marc Roca Junqué
7;Sergi Darder Moll
8;Víctor Sánchez Mata
9;Wu Lei
10;Matías Ezequiel Vargas Martín
11;Andrés Tomás Prieto Albert
12;Víctor Campuzano Bonilla
13;Adrià Giner Pedrosa
14;Víctor Gómez Perea
15;Jonathan Calleri
16;Adrián López Garrote
17;Esteban Félix Granero Molina
18;Facundo Ferreyra
19;Óscar Melendo Jiménez
20;Javier López Rodríguez
21;Lluís López Mármol
22;Sébastien Corchia
23;Pablo Daniel Piatti
24;Gonzalo Ávila Gordón
25;Pol Lozano Vizuete
26;Ander Iturraspe Derteano
27;Kévin Olivier Soni
28;Javier Puado Díaz
29;Borja Iglesias Quintas
30;Mohamed Ezzarfani
31;Ricard Pujol Amat
32;Nicolás Melamed Ribaudo
