;Player
0;David Soria Solís
1;Allan Romeo Nyom
2;Marc Cucurella Saseta
3;Leandro Daniel Cabrera Sasía
4;Djené Dakonam Ortega
5;Damián Nicolás Suárez Suárez
6;David Remeseiro Salgueiro
7;Mauro Wilney Arambarri Rosa
8;Nemanja Maksimović
9;Jaime Mata Arnaiz
10;Jorge Molina Vidal
11;Leandro Chichizola
12;Ángel Luis Rodríguez Díaz
13;Francisco Portillo Soler
14;Robert Kenedy Nunes do Nascimento
15;David Timor Copoví
16;Orlando Rubén Yáñez Alabart
17;Fayçal Fajr
18;Mathías Olivera Miramontes
19;Xabier Etxeita Gorritxategi
20;Enric Gallego Puigsech
21;Raúl García Carnero
22;Bruno González Cabrera
23;Hugo Duro Perales
24;Markel Bergara Larrañaga
25;Vitorino Gabriel Pacheco Antunes
26;Florent Gregoire Poulolo
27;Filip Manojlović
28;Amath Ndiaye Diedhiou
29;Iván Alejo Peralta
