;Player
0;Rui Tiago Dantas da Silva
1;Víctor David Díaz Miguel
2;Carlos Neva Tey
3;Domingos Sousa Coutinho Meneses Duarte
4;Germán Sánchez Barahona
5;Yangel Clemente Herrera Ravelo
6;Álvaro Vadillo Cifuentes
7;Maxime Gonalons
8;Ángel Montoro Sánchez
9;Antonio José Rodríguez Díaz
10;Roberto Soldado Rillo
11;Aarón Escandell Banacloche
12;Darwin Daniel Machís Marcano
13;Carlos Fernández Luna
14;Ramón Olamilekan Azeez
15;José Antonio Martínez Gil
16;Unai Etxebarria Martín
17;Joaquín José Marín Ruiz
18;Yan Brice Eteki
19;Gustavo Adrián Ramos Vásquez
20;Federico Vico Villegas
21;İsmail Köybaşı
22;Alejandro Martínez Sánchez
23;Mario Rodríguez Ruiz
24;José Sánchez Martínez
25;Rodrigo Ríos Lozano
26;Bernardo Víctor Cruz Torres
27;Neyder Yessid Lozano Rentería
28;Antonio Montoro Rodríguez
29;Antonio José Aranda Subiela
30;Ismael Ruiz Sánchez
