;Player
0;Iván Cuéllar Sacristán
1;Unai Bustinza Martínez
2;Jonathan Cristian Silva
3;Dimitrios Siovas
4;Kenneth Josiah Omeruo
5;Óscar Rodríguez Arnaiz
6;Roque Mesa Quevedo
7;Rubén Salvador Pérez del Mármol
8;José Luis García del Pozo
9;Martin Christensen Braithwaite
10;Youssef En-Nesyri
11;Juan Soriano Oropesa
12;Chidozie Collins Awaziem
13;Guido Marcelo Carrillo
14;Roberto José Rosales Altuve
15;Kevin Manuel Rodrigues
16;André Felipe Grandi
17;José Manuel Arnaiz Díaz
18;Javier Eraso Goñi
19;Aitor Ruibal García
20;Rodrigo Tarín Higón
21;Christian Rivera Hernández
22;Marc Navarro Ceciliano
23;Sabin Merino Zuloaga
24;Javier Avilés Cortés
25;Vasyl Ruslanovych Kravets
26;Iván López Cristóbal
27;Alexander Szymanowski
28;Juan Muñoz Muñoz
29;Federico Nicolás Varela Escudero
30;Mario Rafael del Campo Escobar
31;Aymane Mourid
32;Daniel Plomer Gordillo
