;Player
0;Aitor Fernández Abarisketa
1;Jorge Miramón Santagertrudis
2;Carlos Clerc Martínez
3;Rúben Miguel Nunes Vezo
4;Sergio Postigo Redondo
5;José Ángel Gómez Campaña
6;Nemanja Radoja
7;Rubén Rochina Naixes
8;José Luis Morales Nogales
9;Roger Martí Salvador
10;Borja Mayoral Moya
11;Oier Olazábal Paredes
12;Enis Bardhi
13;Nikola Vukčević
14;Gonzalo Julián Melero Manzanares
15;Sergio León Limones
16;Daniel Cárdenas Lindez
17;Erick Cathriel Cabaco Almada
18;Jorge Andújar Moreno
19;Hernâni Jorge Santos Fortes
20;Antonio García Aranda
21;Óscar Esaú Duarte Gaitán
22;Eliseo Falcón Falcón
23;Gonzalo Pereira Cejudo
24;Pablo Martínez Andrés
25;Antonio Manuel Luna Rodríguez
26;Cheick Doukouré
27;Iván López Mendoza
28;Roberto Suárez Pier
29;Armando Durim Sadiku
30;Sanjin Prcić
