;Player
0;Manuel Reina Rodríguez
1;Juan Sastre Vanrell
2;Lumor Agbenyenu
3;Martin Valjent
4;Antonio José Raíllo Arenas
5;Daniel José Rodríguez Vázquez
6;Idrissu Baba Mohammed
7;Salvador Sevilla López
8;Aleix Febas Pérez
9;Ante Budimir
10;Lago Junior Wakalible
11;Fabricio Agosto Ramírez
12;Takefusa Kubo
13;Francisco Gámez López
14;Francisco Javier Campos Coll
15;Abdón Roger Prats Bastidas
16;Miquel Parera Pizà
17;Aleksandar Trajkovski
18;Alexander Alegría Moreno
19;Pablo Alejandro Chavarría
20;Marc Pedraza Sarto
21;Josep Señé Escudero
22;Abdul Rahman Baba
23;Juan Camilo Hernández Suárez
24;Aleksandar Sedlar
25;Aridai Cabrera Suárez
26;Yannis Salibur
27;Sergio Dueñas Ruiz
