;Player
0;Rubén Iván Martínez Andrade
1;Ignacio Vidal Miralles
2;Pervis Josué Estupiñán Tenorio
3;David García Zubiria
4;Oier Sanjurjo Maté
5;Aridane Hernández Umpiérrez
6;Roberto Torres Morales
7;Rubén García Santos
8;Darko Brašanac
9;Francisco Mérida Pérez
10;Luis Ezequiel Ávila
11;Sergio Herrera Pirón
12;Jon Moncayola Tollar
13;Facundo Sebastián Roncaglia
14;Adrián López Álvarez
15;Marc Cardona Rovira
16;Juan Manuel Pérez Ruiz
17;Brandon Thomas Llamas
18;Roberto Ibáñez Castro
19;Juan Villar Vázquez
20;Raúl Rodríguez Navas
21;Manuel Castellano Castro
22;Iñigo Pérez Soto
23;Luis Perea Hernández
24;Unai García Lugea
25;Iñaki Álvarez Goñi
26;Antonio Islam Otegui Khalifi
27;Enrique Barja Afonso
28;Endika Irigoyen Bravo
29;Iván Martínez Gonzálvez
30;Javier Martínez Calvo
