;Player
0;Thibaut Nicolas Marc Courtois
1;Daniel Carvajal Ramos
2;Ferland Mendy
3;Sergio Ramos García
4;Raphaël Varane
5;Carlos Henrique José Francisco Venancio Casimiro
6;Toni Kroos
7;Federico Santiago Valverde Dipetta
8;Karim Mostafa Benzema
9;Gareth Frank Bale
10;Eden Michael Hazard
11;Alphonse Areola
12;Luka Modrić
13;Vinícius José Paixão de Oliveira Júnior
14;Rodrygo Silva de Goes
15;Francisco Román Alarcón Suárez
16;Keylor Antonio Navas Gamboa
17;Luka Jović
18;Marcelo Vieira da Silva Júnior
19;Éder Gabriel Militão
20;Lucas Vázquez Iglesias
21;James David Rodríguez Rubio
22;Álvaro Odriozola Arzallus
23;José Ignacio Fernández Iglesias
24;Brahim Abdelkader Díaz
25;Mariano Díaz Mejía
26;Diego Altube Suárez
27;Adrián de la Fuente Barquilla
28;Marco Asensio Willemsen
29;Lucas Silva Borges
30;Luis Miguel Quezada Sánchez
