;Player
0;Alejandro Remiro Gargallo
1;Joseba Zaldúa Bengoetxea
2;Ignacio Monreal Eraso
3;Diego Javier Llorente Ríos
4;Robin Aime Robert Le Normand
5;Mikel Merino Zazon
6;Martin Ødegaard
7;Igor Zubeldia Elorza
8;Mikel Oyarzabal Ugarte
9;Willian José da Silva
10;Cristian Portugués Manzanera
11;Miguel Ángel Moyá Rumbo
12;Alexander Isak
13;Adnan Januzaj
14;Aritz Elustondo Irribarria
15;Ander Guevara Lajo
16;Luca Sangalli Fuentes
17;Andoni Gorosabel Espinosa
18;Ander Barrenetxea Muguruza
19;Aihen Muñoz Capellán
20;David Zurutuza Veillet
21;Asier Illarramendi Andonegi
22;Kevin Manuel Rodrigues
23;Modibo Sagnan
24;Rubén Pardo Gutiérrez
25;Aritz Arambarri Murua
