;Player
0;Tomáš Vaclík
1;Jesús Navas González
2;Sergio Reguilón Rodríguez
3;Diego Carlos Santos Silva
4;Éver Maximiliano David Banega Hernández
5;Fernando Francisco Reges
6;Lucas Ariel Ocampos
7;Joan Jordán Moreno
8;Óliver Torres Muñoz
9;Luuk de Jong
10;Manuel Agudo Durán
11;Yassine Bounou
12;Jules Koundé
13;Franco Damián Vázquez
14;Daniel Filipe Martins Carriço
15;Javier Hernández Balcázar
16;Sergio Rico González
17;Munir El Haddadi Mohamed
18;Nemanja Gudelj
19;Sergio Escudero Palomo
20;Alejandro Pozo Pozo
21;Bryan Gil Salvatierra
22;Moanes Dabbur
23;Marcos Paulo Mesquita Lopes
24;Sergi Gómez Solà
25;Simon Thorup Kjær
26;Sébastien Corchia
27;Javier Díaz Sánchez
28;Guilherme Antonio Arana Lopes
29;Joris Gnagnon
30;José Mena Rodríguez
31;Felipe Rodríguez Chacartegui
32;Genaro Rodríguez Serrano
33;Alfonso Pastor Vacas
34;José Alonso Lara
