;Player
0;Jacobus Antonius Peter Johannes Cillessen
1;Daniel Wass
2;José Luis Gayà Peña
3;Gabriel Armando de Abreu
4;Ezequiel Marcelo Garay González
5;Daniel Parejo Muñoz
6;Francis Coquelin
7;Geoffrey Kondogbia
8;Rodrigo Moreno Machado
9;Ferran Torres García
10;Maximiliano Gómez González
11;Jaume Doménech Sánchez
12;Jaume Vicent Costa Jordá
13;Kevin Dominique Gameiro
14;Carlos Soler Barragán
15;Denis Dmitriyevich Cheryshev
16;Cristian Rivero Sabater
17;Mouctar Diakhaby
18;Gonçalo Manuel Ganchinho Guedes
19;Manuel Javier Vallejo Galván
20;Lee Kang In
21;Rubén Sobrino Pozuelo
22;Thierry Rendall Correia
23;Eliaquim Hans Mangala
24;Cristiano Piccini
25;Vicente Esquerdo Santas
26;Javier Jiménez García
27;David Remeseiro Salgueiro
28;Pablo Gozálbez Gilabert
29;Álvaro Medrán Just
30;Salvador Ruiz Rodríguez
