;Player
0;Jordi Masip López
1;Javier Moyano Lujano
2;José Ignacio Martínez García
3;Francisco José Olivas Alba
4;Mohammed Salisu Abdul Karim
5;Miguel Alfonso Herrero Javaloyas
6;Federico San Emeterio Díaz
7;Sergio Guardiola Navarro
8;Óscar Plano Pedreño
9;Sandro Ramírez Castillo
10;Laureano Antonio Villa Suárez
11;Andriy Oleksiyovych Lunin
12;Enes Ünal
13;Joaquín Fernández Moreno
14;Pedro Antonio Porro Sauceda
15;Waldo Rubio Marín
16;Samuel Pérez Fariña
17;Pablo Hervías Ruiz
18;Rubén Alcaraz Jiménez
19;Anuar Mohamed Tuhami
20;Federico Barba
21;Antonio Jesús Regal Angulo
22;Jorge de Frutos Sebastián
23;Miguel de la Fuente Escudero
24;Moctar Sidi El Hacen El Ide
25;Stiven Ricardo Plaza Castillo
26;Luis Miguel Sánchez Benítez
27;Álvaro Aguado Méndez
28;Javier Sánchez de Felipe
29;Enrique Pérez Muñoz
30;Roberto Corral García
31;Víctor García Raja
32;Christopher Ramos de la Flor
