;Player
0;Sergio Asenjo Andrés
1;Mario Gaspar Pérez Martínez
2;Xavier Quintillà Guasch
3;Pau Francisco Torres
4;Raúl Albiol Tortajada
5;Vicente Iborra de la Fuente
6;André Franck Zambo Anguissa
7;Moisés Gómez Bordonado
8;Santiago Cazorla González
9;Gerard Moreno Balagueró
10;Karl Toko Ekambi
11;Andrés Eduardo Fernández Moreno
12;Samuel Chimerenka Chukwueze
13;Rubén Peña Jiménez
14;Javier Ontiveros Parra
15;Manuel Trigueros Muñoz
16;Mariano Damián Barbosa
17;Carlos Arturo Bacca Ahumada
18;José Ramiro Funes Mori
19;Alberto Moreno Pérez
20;Manuel Morlanes Ariño
21;Santiago Cáseres
22;Miguel Ángel Leal Díaz
23;Andrei Florin Ratiu
24;Bruno Soriano Llido
25;Leonardo Gabriel Suárez
26;Sergio Lozano Lluch
27;Alejandro Baena Rodríguez
